objectid,title,format,filename
item1,The Cataract House,image/jpeg,cattaracthouse.jpeg
item2,Railway House,image/jpeg,railwayhouse.jpeg
item3,William Pawling,image/jpeg,cherubsuitcase.jpeg
item4,The Great Cheapside,image/jpeg,tradclothing.jpeg
item5,Bristol's Sarsaparilla,image/jpeg,eaglesasparilla.jpeg
item6,Grover and Baker's Sewing Machines,image/jpeg,sowingmachines.jpeg
item7,Saskatchewan Homstead Company,image/jpeg,homestead.jpeg
item8,WM.N. Braund's,image/jpeg,stoves.jpeg
item9,"Prof. G. Lorraine Linder, Phrenological Examinations",image/jpeg,knowthyself.jpeg
item10,Canadian Pacific Railway,image/jpeg,farmerswanted.jpeg
item11,Star Music Store,image/jpeg,cats.jpeg
item12,Thomas Cowan,image/jpeg,shoes.jpeg
item13,James D. Tait's,image/jpeg,bison.jpeg
item14,Harris & Berston,image/jpeg,nativeamerican.jpeg
item15,Mutual Fire Insurance Co.,image/jpeg,mutualfire.jpeg
