objectid,title,format,filename,date
item1,The Cataract House,image/jpeg,cattaracthouse.jpeg,1897-06
item2,Railway House,image/jpeg,railwayhouse.jpeg,1867-12-01
item3,William Pawling,image/jpeg,cherubsuitcase.jpeg,1882
item4,The Great Cheapside,image/jpeg,tradclothing.jpeg,1882
item5,Bristol's Sarsaparilla,image/jpeg,eaglesasparilla.jpeg,1866-08-09
item6,Grover and Baker's Sewing Machines,image/jpeg,sowingmachines.jpeg,1866-08-09
item7,Saskatchewan Homstead Company,image/jpeg,homestead.jpeg,1885
item8,WM.N. Braund's,image/jpeg,stoves.jpeg,1878-01-30
item9,"Prof. G. Lorraine Linder, Phrenological Examinations",image/jpeg,knowthyself.jpeg,1875-12-02
item10,Canadian Pacific Railway,image/jpeg,farmerswanted.jpeg,1908-08-07
item11,Star Music Store,image/jpeg,cats.jpeg,
item12,Thomas Cowan,image/jpeg,shoes.jpeg,
item13,James D. Tait's,image/jpeg,bison.jpeg,1869-06-24
item14,Harris & Berston,image/jpeg,nativeamerican.jpeg,1869-06-24
item15,Mutual Fire Insurance Co.,image/jpeg,mutualfire.JPEG,1869-06-25
